symbol,units_as_printed,kind,a,b,printed_line
f,-,constant,0.58,,f = 0.58
k_d,L/min,arrhenius_over_T,6.32e16,15430.0,k_d (L/min) = 6.32 X 10^16 exp[-15.43 X 10^3/T (K)]
k_t0,L/(min-mol),arrhenius_over_RT,5.88e9,701.0,k_t^0 (L/(min-mol)) = 5.88 X 10^9 exp[-701/1.987T (K)]
k_p0,L/(min-mol),arrhenius_over_RT,2.95e7,4353.0,k_p^0 (L/(min-mol)) = 2.95 X 10^7 exp[-4353/1.987T (K)]
k_tc,L/(min-mol),constant,0.0,,k_tc = 0 [termination by disproportionation only]
d_p,g/cm3,constant,1.2,,d_p (g/cm^3) = 1.2
d_m,g/cm3,linear_in_T_minus_273,0.973,1.164e-3,d_m (g/cm^3) = 0.973 - 1.164 X 10^-3(T (K) - 273)
T_gp,degC,constant,114.0,,T_gp (degC) = 114
