# Two printed tables of Bird, Stewart & Lightfoot, "Transport Phenomena", 2nd edn
# (Wiley, 2002), transcribed from native 300 ppi renders (JBIG2 bilevel at 300 ppi;
# pdftoppm -r 300), each numeric cropped and re-read.  PDF page = book page + 16.
#
#   Table 20.1-1 (book p. 615) "Table of phi(x_A0) and psi(x_A0)", the Arnold
#     (1944) unsteady-evaporation functions.  psi is DEFINED in the table head as
#     psi = phi sqrt(pi) / x_A0.  phi solves BSL Eq. 20.1-18,
#         x_A0 = 1 / (1 + [sqrt(pi) (1 + erf phi) phi exp(phi^2)]^-1).
#     Rows at x_A0 = 1.00 print an infinity sign in both columns and are carried
#     here as empty cells, not as numbers.
#
#   Table 22.8-2 (book p. 713) "Comparison of Film and Penetration Models", the
#     high-net-mass-transfer-rate correction factor theta_x from
#         Eq. 22.8-41  theta_x = (1 - x_A0) psi(x_A0)          (penetration model)
#         Eq. 22.8-42  theta_x = ((1 - x_A0)/x_A0) ln(1/(1-x_A0))  (film model)
#
# This is BSL's own quantitative film-versus-penetration comparison.  It is NOT a
# comparison of the exponent on diffusivity; it is a comparison of the correction
# for a finite net mass-transfer rate across the interface.  The Arnold problem
# itself is case A4.8, not this one; phi and psi are used here only as the inputs
# Eq. 22.8-41 needs.
x_A0,phi_20p1_1,psi_20p1_1,theta_penetration_22p8_2,theta_film_22p8_2
0.00,0.0000,1.000,1.000,1.000
0.25,0.1562,1.108,0.831,0.863
0.50,0.3578,1.268,0.634,0.693
0.75,0.6618,1.564,0.391,0.462
1.00,,,0.000,0.000
