# IAST reference solutions COMPUTED BY PAGE J1.4 on two illustrative Langmuir pairs.
# NOT experimental data and NOT from Myers & Prausnitz (1965); see the .meta.yaml sidecar.
# pair L: m=1, b1=10, b2=1.  pair U: m1=1, b1=10, m2=0.5, b2=2.  Arbitrary units.
pair,P,y1,z,x1,n_t,n_1,n_2,s12
L,0.2,0.1,0.322083499169,0.526315789474,0.275362318841,0.144927536232,0.130434782609,10
L,0.2,0.2,0.444685821261,0.714285714286,0.358974358974,0.25641025641,0.102564102564,10
L,0.2,0.3,0.553885113226,0.810810810811,0.425287356322,0.344827586207,0.0804597701149,10
L,0.2,0.4,0.65232518604,0.869565217391,0.479166666667,0.416666666667,0.0625,10
L,0.2,0.5,0.741937344729,0.909090909091,0.52380952381,0.47619047619,0.047619047619,10
L,0.2,0.6,0.824175442966,0.9375,0.561403508772,0.526315789474,0.0350877192982,10
L,0.2,0.7,0.900161349944,0.958904109589,0.593495934959,0.569105691057,0.0243902439024,10
L,0.2,0.8,0.970778917158,0.975609756098,0.621212121212,0.606060606061,0.0151515151515,10
L,0.2,0.9,1.03673688495,0.989010989011,0.645390070922,0.63829787234,0.00709219858156,10
L,1,0.1,1.06471073699,0.526315789474,0.655172413793,0.344827586207,0.310344827586,10
L,1,0.2,1.33500106673,0.714285714286,0.736842105263,0.526315789474,0.210526315789,10
L,1,0.3,1.54756250872,0.810810810811,0.787234042553,0.63829787234,0.148936170213,10
L,1,0.4,1.72276659774,0.869565217391,0.821428571429,0.714285714286,0.107142857143,10
L,1,0.5,1.8718021769,0.909090909091,0.846153846154,0.769230769231,0.0769230769231,10
L,1,0.6,2.00148000021,0.9375,0.864864864865,0.810810810811,0.0540540540541,10
L,1,0.7,2.1162555148,0.958904109589,0.879518072289,0.843373493976,0.0361445783133,10
L,1,0.8,2.21920348405,0.975609756098,0.891304347826,0.869565217391,0.0217391304348,10
L,1,0.9,2.31253542385,0.989010989011,0.90099009901,0.891089108911,0.00990099009901,10
L,5,0.1,2.35137525716,0.526315789474,0.904761904762,0.47619047619,0.428571428571,10
L,5,0.2,2.7080502011,0.714285714286,0.933333333333,0.666666666667,0.266666666667,10
L,5,0.3,2.97041446557,0.810810810811,0.948717948718,0.769230769231,0.179487179487,10
L,5,0.4,3.17805383035,0.869565217391,0.958333333333,0.833333333333,0.125,10
L,5,0.5,3.34990408727,0.909090909091,0.964912280702,0.877192982456,0.0877192982456,10
L,5,0.6,3.49650756147,0.9375,0.969696969697,0.909090909091,0.0606060606061,10
L,5,0.7,3.62434093298,0.958904109589,0.973333333333,0.933333333333,0.04,10
L,5,0.8,3.73766961828,0.975609756098,0.97619047619,0.952380952381,0.0238095238095,10
L,5,0.9,3.83945231259,0.989010989011,0.978494623656,0.967741935484,0.010752688172,10
U,0.2,0.1,0.302321694798,0.566578002267,0.244971231546,0.138795310982,0.106175920564,11.7649820431
U,0.2,0.2,0.423075737439,0.759517827194,0.328504485066,0.24950501272,0.0789994723452,12.6332495807
U,0.2,0.3,0.53272422049,0.852797385714,0.397759178696,0.339207987735,0.0585511909601,13.5178344238
U,0.2,0.4,0.63299353707,0.905756390182,0.455839959009,0.412879955772,0.0429600032362,14.4161984871
U,0.2,0.5,0.725250114747,0.938748901932,0.505046023636,0.474111400114,0.0309346235227,15.3262379212
U,0.2,0.6,0.810593381826,0.960582304803,0.547114311479,0.525548326312,0.0215659851676,16.2462112512
U,0.2,0.7,0.88992012673,0.975653842536,0.583378172465,0.569175155617,0.0142030168478,17.1746757864
U,0.2,0.8,0.963970457193,0.986383763819,0.614874982658,0.606502699673,0.00837228298569,18.1104335791
U,0.2,0.9,1.03336144899,0.99420197017,0.64242131628,0.638696538325,0.00372477795541,19.0524865873
U,1,0.1,0.92126282242,0.661173994671,0.525338103684,0.347339892566,0.177998211118,17.5623058987
U,1,0.2,1.21385340401,0.845154254729,0.648525207961,0.548103838807,0.100421369154,21.8321595662
U,1,0.3,1.45064458418,0.918593244806,0.728785863435,0.669457771061,0.0593280923736,26.3293166859
U,1,0.4,1.64745480215,0.953801688928,0.782968943211,0.746797100413,0.0361718427982,30.9687194227
U,1,0.5,1.81483369076,0.972752247564,0.821030182711,0.798658955549,0.0223712271612,35.7002747232
U,1,0.6,1.95992298146,0.983803268617,0.848778235991,0.835030802899,0.0137474330917,40.4939015319
U,1,0.7,2.08768001491,0.990634257474,0.869677231509,0.861532058478,0.00814517303068,45.3309001137
U,1,0.8,2.20164161533,0.995044520654,0.885863203052,0.881473326246,0.00438987680569,50.1992063367
U,1,0.9,2.30439863399,0.997987185756,0.898700624573,0.896891707155,0.00180891741834,55.0907593226
U,5,0.1,1.96147020795,0.818361112802,0.755907277092,0.618605120456,0.137302156636,40.5488611432
U,5,0.2,2.45386734115,0.940446278825,0.870409663918,0.818573529485,0.0518361344328,63.1662479036
U,5,0.3,2.79741833199,0.973883881371,0.917817704932,0.89384786887,0.0239698360616,87.0112345369
U,5,0.4,3.05727072098,0.986707682428,0.941592264142,0.929076320743,0.0125159433982,111.347138348
U,5,0.5,3.26514594719,0.992696447002,0.955344577575,0.948367167822,0.00697740975384,135.919660917
U,5,0.6,3.43799578829,0.99586663903,0.964133976273,0.960148862525,0.00398511374748,160.622577483
U,5,0.7,3.58576375519,0.997693783043,0.970167768553,0.967930351194,0.00223741735854,185.40452088
U,5,0.8,3.71473152062,0.998812282853,0.974535601823,0.973378129179,0.00115747264439,210.237825899
U,5,0.9,3.82910361514,0.999527623852,0.977828659094,0.977366756158,0.00046190293555,235.106334863
