# Yagi & Kunii, AIChE J 3(3) 373-381 (1957), Figure 12, journal page 378.
# "Example of radial temperature distribution in the experimental packed bed without
#  flowing fluid." Five profiles of four thermocouple readings each, on a labelled
#  0-900 degC ordinate.
# ONLY THE TWO ENDPOINTS of each profile are recorded here: the marker sitting on the
# OUTSIDE axis and the marker sitting on the INSIDE axis. They fix the temperature drop
# the apparatus actually ran, which is the one thing this page needs from the figure.
# The two interior markers and the (unlabelled) abscissa are deliberately NOT recorded -
# using them would be a figure digitisation needing a maintainer review.
# Read at the scan's NATIVE 300 ppi (pdfimages -list reports 300x300 CCITT-G4),
# by locating the ten axis ticks (0..900 degC, 134.44 px per 100 degC) and the marker
# centroids. Rounded to the nearest degree; uncertainty about +-2 degC per endpoint.
run,t_outside_C,t_inside_C
1,42,237
2,191,409
3,345,557
4,470,712
5,598,858
