# Table 4 of Mars & van Krevelen (1954): "Influence of the O2 and SO2
# concentrations on the reaction rate". Transcribed from a 300 dpi (native)
# render of journal page 55. The last two columns are the paper's own printed
# values of sqrt(%O2 * %SO2) and sqrt(sqrt(%O2) * %SO2) - pure arithmetic on
# the first two, recomputed on the page as a transcription check.
pct_O2,pct_SO2,sqrt_O2_SO2_printed,sqrt_sqrtO2_SO2_printed
5.2,12,7.9,5.2
6.6,11,8.5,5.3
7.8,10,8.8,5.3
9.0,9,9.0,5.2
10.6,8,9.2,5.1
11.9,7,9.1,4.9
13.0,6,8.8,4.7
