# Table 3 of Mars & van Krevelen (1954): rate constants derived by the authors
# from technical data on a two-converter SO2 plant with a catalyst "in use for
# some years". Transcribed from a 300 dpi (native) render of journal page 54.
# kstar_group is k* sqrt((mean pO2)^n (pSO2)_0) in atm/hr, the diffusion-limited
# group of their eq. (15)/(16); k_doublestar is the apparent first-order
# constant of their unnumbered eq. above it, in 1/hr.
temperature_C,k_doublestar_per_hr,effectivity_pct,kstar_group_atm_per_hr
445,2000,45,164
570,9140,20,400
