# Table 1 of Onda, Takeuchi & Okumoto (1968), page 57: "Experimental results of
# gas absorption into organic solvents". The authors' own runs, reported as the
# fitted power law  k_L a = alpha * L^n  with L the superficial liquid mass
# velocity. Six rows exactly as printed. See the .meta.yaml sidecar.
row,packing,size_printed,absorbent,temp_C,alpha,n
1,Raschig ring,10 mm,CCl4,25,0.120,0.70
2,Berl saddle,1/2-in,CCl4,25,0.0862,0.73
3,Sphere,1/2-in,CCl4,25,0.0227,0.86
4,Sphere,1/2-in,CH3OH,20,0.0735,0.76
5,Sphere,1-in,CH3OH,20,0.0389,0.83
6,Rod,14 mm,CCl4,25,0.093,0.70
