# Xu & Froment (1989), AIChE J 35(1) 88-96.
# Table 6 (preexponential factors) and Table 5 (activation energies, adsorption
# enthalpies, and the values at the reference temperatures).
# Read from a 600 dpi render of journal page 94; the PDF text layer mangles
# every exponent and was not used.
# T_ref differs by parameter group: 648 K for k1, k2, k3, K_CO and K_H2;
# 823 K for K_CH4 and K_H2O (paper, page 93).
# All values are at the REFERENCE (partially deactivated) activity level, which
# is the level of the steam-reforming data in Figures 2 and 3.
symbol,A,A_unit,E_or_dH_kJ_per_mol,value_at_Tref,value_at_Tref_unit,T_ref_K,table
k1,4.225e15,kmol bar^0.5 / (kg_cat h),240.1,1.842e-4,kmol bar^0.5 / (kg_cat h),648,5 and 6
k2,1.955e6,kmol / (kg_cat h bar),67.13,7.558,kmol / (kg_cat h bar),648,5 and 6
k3,1.020e15,kmol bar^0.5 / (kg_cat h),243.9,2.193e-5,kmol bar^0.5 / (kg_cat h),648,5 and 6
K_CO,8.23e-5,1/bar,-70.65,40.91,1/bar,648,5 and 6
K_H2,6.12e-9,1/bar,-82.90,0.02960,1/bar,648,5 and 6
K_CH4,6.65e-4,1/bar,-38.28,0.1791,1/bar,823,5 and 6
K_H2O,1.77e5,-,88.68,0.4152,-,823,5 and 6
