# Brunauer, Emmett & Teller (1938), J. Am. Chem. Soc. 60(2) 309-319, TABLE IV, journal page 317.
# "Value of Constants of Adsorption of Sulfur Dioxide on Silica Gel (McGavack and Patrick)".
# Transcribed 2026-08-07 off a 300 ppi native render, cropped and read at digit scale.
# The underlying isotherms are McGavack & Patrick, THIS JOURNAL 42, 946 (1920) -- NOT on
# disk, not consulted. The constants in this table are Brunauer, Emmett & Teller's own
# analysis of those isotherms with equation (B).
# The printed table leaves E_L and E1 blank on the last three rows.
# The table's own footer reads: "n = 3.5 for all six isotherms."
row,temperature_C,v_m_cc_per_g,d_L_g_per_cc,E1_minus_EL_cal_per_mol,EL_cal_per_mol,E1_cal_per_mol
1,40,91.6,1.327,1789,4940,6730
2,30,96.6,1.356,1750,5190,6940
3,0,105.8,1.435,1705,5840,7540
4,-34.4,118.6,1.522,1587,,
5,-54,129.2,1.573,1458,,
6,-80,131.0,1.642,1364,,
