# Brunauer, Emmett & Teller (1938), J. Am. Chem. Soc. 60(2) 309-319, TABLE II, journal page 315.
# "E1-EL Values for Different Gases". Two adsorbents x four gases, cal./mole.
# Transcribed 2026-08-07 off a 300 ppi native render, cropped and read at digit scale.
# Long format: one row per (substance, gas). The printed table is 2 rows x 4 columns.
substance,gas,temperature_C,E1_minus_EL_cal_per_mol
Al2O3 promoted Fe catalyst 954,N2,-183,894
Al2O3 promoted Fe catalyst 954,A,-183,704
Al2O3 promoted Fe catalyst 954,CO2,-78,1580
Al2O3 promoted Fe catalyst 954,C4H10,0,1870
Silica gel,N2,-183,794
Silica gel,A,-183,594
Silica gel,CO2,-78,1335
Silica gel,C4H10,0,1930
