series,Re_over_one_minus_eps,f_k,f_v
present_investigation,7.5046,20.87742,156.677
present_investigation,8.0248,19.26098,154.566
present_investigation,8.6501,19.36544,167.513
present_investigation,8.6535,17.97407,155.538
present_investigation,8.6535,18.82693,162.918
present_investigation,9.5404,16.98834,162.076
present_investigation,10.0077,16.29412,163.067
present_investigation,10.352,16.77961,173.702
present_investigation,12.3215,13.9827,172.287
present_investigation,12.6441,13.10149,165.657
present_investigation,13.2674,12.47852,165.558
present_investigation,13.3623,13.48612,180.206
present_investigation,13.851,12.09692,167.555
present_investigation,14.1174,12.5977,177.847
present_investigation,14.5104,12.14161,176.18
present_investigation,15.1031,12.04469,181.912
present_investigation,15.5797,11.09803,172.904
present_investigation,16.2192,10.71087,173.722
present_investigation,16.5247,11.10698,183.539
present_investigation,17.0799,10.36887,177.099
present_investigation,17.6393,9.78668,172.63
present_investigation,17.6512,10.64263,187.855
present_investigation,18.7467,9.5834,179.657
present_investigation,19.1271,10.11409,193.453
present_investigation,19.5162,9.08205,177.247
present_investigation,19.6896,9.64529,189.912
present_investigation,20.4403,9.08205,185.64
present_investigation,21.2196,8.71218,184.869
present_investigation,21.4081,9.08205,194.43
present_investigation,22.8044,8.42273,192.075
present_investigation,24.4334,8.03523,196.328
present_investigation,24.4619,7.4349,181.872
present_investigation,25.8268,7.693,198.685
present_investigation,28.7894,7.0136,201.917
present_investigation,30.929,6.63306,205.154
present_investigation,31.4144,6.38344,200.532
present_investigation,32.0293,6.14324,196.763
present_investigation,32.6412,6.54752,213.719
present_investigation,34.7495,6.08649,211.503
present_investigation,41.5593,5.40195,224.501
present_investigation,41.9495,5.13597,215.451
present_investigation,44.0322,5.06413,222.985
present_investigation,44.6624,5.26744,235.257
present_investigation,46.3688,5.09159,236.091
present_investigation,49.1226,4.69738,230.747
present_investigation,53.0573,4.84532,257.08
present_investigation,53.953,4.58608,247.433
present_investigation,55.4313,4.91393,272.386
present_investigation,56.5729,4.58646,259.469
present_investigation,56.8303,4.75342,270.138
present_investigation,58.1192,4.91571,285.697
present_investigation,58.8685,4.54823,267.747
present_investigation,59.3984,4.79103,284.579
present_investigation,61.1082,4.30731,263.212
present_investigation,62.2845,4.09963,255.344
present_investigation,66.3064,3.92894,260.514
present_investigation,69.5162,3.8663,268.77
present_investigation,73.1363,3.92839,287.307
present_investigation,74.6215,3.81883,284.967
present_investigation,78.3011,3.85316,301.707
present_investigation,81.4903,3.56502,290.515
present_investigation,83.6473,3.69858,309.376
present_investigation,88.615,3.53431,313.193
present_investigation,89.3901,3.37368,301.573
present_investigation,94.8536,3.54707,336.453
present_investigation,99.5975,3.28722,327.399
present_investigation,104.1432,3.09011,321.814
present_investigation,108.806,3.14632,342.339
present_investigation,110.1681,3.29434,362.931
present_investigation,123.3061,3.04751,375.776
present_investigation,129.3556,2.95126,381.763
present_investigation,135.4805,2.96095,401.152
