# Bosch, Versteeg & van Swaaij (1989), Table 2 (journal page 2739), transcribed
# from a 600 dpi page render. NUMERICAL results of the authors' own simulations
# for absorption of CO2 into amine-promoted carbonate solutions at 363 K -
# these are not measurements (provenance tier 6).
# alpha = liquid loading, p_co2 in kPa, J in mol m-2 s-1, E and F dimensionless.
alpha,p_co2_kpa,J_u,E_u,J_DEA,E_DEA,F_DEA,J_HDA,E_HDA,F_HDA
0.2,30,4.34e-3,33.0,1.19e-2,84.4,2.74,2.16e-2,158,4.98
0.4,30,1.10e-3,20.6,5.51e-3,60.8,5.00,8.80e-3,106,8.00
0.4,120,9.69e-3,19.2,2.43e-2,45.0,2.51,3.64e-2,68.3,3.76
0.6,120,3.53e-3,12.9,1.19e-2,31.6,3.37,1.80e-2,46.3,5.10
