# Langmuir, I. (1918), J. Am. Chem. Soc. 40(9) 1361-1403, TABLE XXV, journal page 1398.
# "Amounts of Oxygen and Carbon Monoxide Adsorbed by Platinum."
# Transcribed 2026-08-07 off a 300 ppi NATIVE render, cropped and read at digit scale.
#
# The platinum section of the paper is chemisorption, NOT an isotherm: no pressure
# is tabulated and eq. (31) is never applied to it. This table is carried for ONE
# reason - it applies eq. (37) on a THIRD adsorbent (312 sq. cm. of foil, against
# 5750 of mica and 1966 of glass), which is an out-of-sample exercise of that
# equation. Nothing else from Tables XXIII-XXIV is used.
temp_C,gas,q_cu_mm,N0_e15
20,O2,2.1,0.17
100,O2,3.6,0.29
200,O2,5.4,0.44
330,O2,5.2,0.42
20,CO,3.6,0.29
100,CO,4.1,0.33
200,CO,3.9,0.32
330,CO,1.2,0.10
